Organizations-Enhanced 	Record Count	% of 1051
NETHERLANDS INSTITUTE FOR NEUROSCIENCE NIN KNAW	1	0.095
NEUROSCIENCE RESEARCH AUSTRALIA	1	0.095
NEW ENGLAND RESEARCH INSTITUTES	1	0.095
NEW HAMPSHIRE DEPT HLTH HUMAN SERV	1	0.095
NEW YORK CITY COLLEGE OF TECHNOLOGY	1	0.095
NEW YORK MEDICAL COLLEGE	1	0.095
NEW YORK REG CTR DIABET TRANSLAT RES	1	0.095
NEW YORK UNIV	1	0.095
NEWMAN UNIVERSITY BIRMINGHAM	1	0.095
NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID	1	0.095
NIH NATIONAL INSTITUTE OF NURSING RESEARCH NINR	1	0.095
NIIGATA UNIVERSITY	1	0.095
NILRATAN SIRCAR MED COLL	1	0.095
NORDSJAELLANDS HOSP	1	0.095
NORTH DAKOTA STATE UNIVERSITY FARGO	1	0.095
NORTH EAST MED SERV	1	0.095
NORTHERN ARIZONA UNIVERSITY	1	0.095
NORTHSHORE UNIVERSITY HEALTH SYSTEM	1	0.095
NORTHUMBRIA HEALTHCARE FDN TRUST	1	0.095
NORTHUMBRIA UNIVERSITY	1	0.095
NORTHWESTERN MEMORIAL HOSPITAL	1	0.095
NORWEGIAN UNIVERSITY OF LIFE SCIENCES	1	0.095
NOVA	1	0.095
NOVA SCOTIA HLTH AUTHOR	1	0.095
NOVARTIS	1	0.095
NOVONORDISK SPA	1	0.095
NOWOWIEJSKI HOSP	1	0.095
NSW BREAST CANC INST	1	0.095
NSW DEPT HLTH	1	0.095
OCHSNER HEALTH SYSTEM	1	0.095
ODENSE UNIVERSITY HOSPITAL	1	0.095
OFF DIANN M ACKARD	1	0.095
OHIO NORTHERN UNIVERSITY	1	0.095
OKANAGAN BARIATR SURG CTR	1	0.095
OKLAHOMA STATE UNIVERSITY STILLWATER	1	0.095
OKLAHOMA STATE UNIVERSITY SYSTEM	1	0.095
OPORTO HOSP CTR	1	0.095
OREGON WEIGHT LOSS SURG	1	0.095
OSAKA CITY UNIVERSITY	1	0.095
OSLO AKERSHUS UNIVERSITY COLLEGE	1	0.095
OSPED IMPERIA	1	0.095
PAKISTAN INSTITUTE OF MEDICAL SCIENCES	1	0.095
PARTNER DUSSELDORF	1	0.095
PATIENT ADVOCATE	1	0.095
PENN STATE HERSHEY DIABET INST	1	0.095
PENN STATE HERSHEY MED GRP FISHBURN RD	1	0.095
PENNSYLVANIA STATE SYSTEM OF HIGHER EDUCATION PASSHE	1	0.095
PEOPLES HOSP 115	1	0.095
PEOPLES HOSP JINHUA	1	0.095
PERMANENTE MEDICAL GROUPS	1	0.095
PHASE V TECHNOL	1	0.095
PHILADELPHIA VETERANS AFFAIRS MEDICAL CENTER	1	0.095
PIETRA LIGURE HOSP	1	0.095
PK NICOLLET INST	1	0.095
POLICLIN NEUROL PSYCHIAT INTERNEURON	1	0.095
POLISH ACADEMY OF SCIENCES	1	0.095
PONTIFICIA UNIVERSIDAD JAVERIANA	1	0.095
POPULAR MED COLL	1	0.095
POPULATION HEALTH RESEARCH INSTITUTE	1	0.095
PORTLAND STATE UNIVERSITY	1	0.095
PORTSMOUTH DIABET CTR PORTSMOUTH CITY PRIMARY C	1	0.095
PORTSMOUTH HOSPITALS NHS TRUST	1	0.095
PRIMARY CARE CTR OSSA MONTIEL	1	0.095
PRIMARY CARE CTR ZONA VB	1	0.095
PRIMARY CARE CTR ZONA VII	1	0.095
PRIMARY CARE HEAD OFF	1	0.095
PRINCE MANSOURE HOSP	1	0.095
PRINCE SULTAN MIL MED CITY	1	0.095
PRINCESS ALEXANDRA HOSP	1	0.095
PRINCESS MARGARET HOSP CHILDREN	1	0.095
PROF M VISWANATHANS DIABET RES CTR	1	0.095
PROFESS DATA ANALYSTS INC	1	0.095
PROGRAM HLTH ECON OUTCOME MEASURES	1	0.095
PROJECT OPEN HAND	1	0.095
PUBL HLTH SERV AMSTERDAM	1	0.095
PUBLIC HEALTH FOUNDATION OF INDIA	1	0.095
PUSAN NATIONAL UNIVERSITY	1	0.095
QUANTELL INC	1	0.095
QUEEN ALEXANDRA HOSPITAL	1	0.095
QUEEN ELIZABETH II HEALTH SCIENCES CENTRE	1	0.095
QUEEN SILVIA CHILDREN S HOSPITAL	1	0.095
QUEENS COLLEGE NY CUNY	1	0.095
RAINBOW BABIES CHILDREN S HOSPITAL	1	0.095
RALPH H JOHNSON VET ADM MED CTR	1	0.095
RAMBAM HEALTH CARE CAMPUS	1	0.095
REGENSTRIEF INSTITUTE INC	1	0.095
REGGIO EMILIA MENTAL HLTH DEPT	1	0.095
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN S HOSPITAL	1	0.095
RINKEBY HLTH CTR	1	0.095
ROBERT KOCH INSTITUTE	1	0.095
ROBERT WOOD JOHNSON FOUNDATION RWJF	1	0.095
ROCHE DIABET CARE	1	0.095
ROCHE DIABET CARE GMBH	1	0.095
ROCKEFELLER UNIVERSITY	1	0.095
ROCKY MOUNTAIN UNIVERSITY HEALTH PROFESSIONS	1	0.095
ROSALIND FRANKLIN UNIVERSITY MEDICAL SCIENCE	1	0.095
ROTHERHAM INST OBES	1	0.095
ROYAL COLLEGE OF SURGEONS IRELAND	1	0.095
ROYAL FREE LONDON NHS FOUNDATION TRUST	1	0.095
ROYAL INFIRMARY OF EDINBURGH	1	0.095
ROYAL LIVERPOOL BROADGREEN UNIVERSITY HOSPITALS NHS TRUST	1	0.095
ROYAL LIVERPOOL UNIVERSITY HOSPITAL	1	0.095
ROYAL LONDON HOSPITAL	1	0.095
ROYAL MED SERV COLL ALLIED PROFESS	1	0.095
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT	1	0.095
ROYAL NETHERLANDS ACADEMY OF ARTS SCIENCES	1	0.095
ROYAL NORTH SHORE HOSPITAL	1	0.095
RUTGERS STATE UNIVERSITY NEW BRUNSWICK	1	0.095
SAHLGRENSKA UNIVERSITY HOSPITAL	1	0.095
SAINT FRANCIS XAVIER UNIVERSITY CANADA	1	0.095
SAINT LOUIS UNIVERSITY	1	0.095
SAINT MICHAELS HOSPITAL TORONTO	1	0.095
SAMATVAM ENDOCRINOL DIABET CTR	1	0.095
SAMUEL MERRITT UNIVERSITY	1	0.095
SAN ANTONIO MILITARY MEDICAL CENTER	1	0.095
SAN BORTOLO HOSPITAL	1	0.095
SAN RAFFAELE RESNATI HOSP	1	0.095
SANGATH	1	0.095
SANOFI FRANCE	1	0.095
SAO JOAO HOSPITAL	1	0.095
SCH HLTH EXERCISE SCI	1	0.095
SCH MED	1	0.095
SCHNEIDER ASSOCIATES PSYCHOL SERV	1	0.095
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION SAIC	1	0.095
SCIENCE TECHNOLOGY FACILITIES COUNCIL STFC	1	0.095
SCRIPPS RESEARCH INSTITUTE	1	0.095
SDSU	1	0.095
SEOUL NATIONAL UNIVERSITY HOSPITAL	1	0.095
SERBIAN ACADEMY OF SCIENCES ARTS	1	0.095
SHAHID BEHESHTI UNIV MED SCI	1	0.095
SHAHID BEHESHTI UNIVERSITY MEDICAL SCIENCES	1	0.095
SHANDONG MED COLL	1	0.095
SHANDONG UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	1	0.095
SHANGHAI JIAO TONG UNIVERSITY	1	0.095
SHEFFIELD HLTH SOCIAL CARE NHS FDN TRUST	1	0.095
SHIMADA HOSP	1	0.095
SHIN CLIN	1	0.095
SHINSHU UNIVERSITY	1	0.095
SHIRAIWA MED CLIN	1	0.095
SHIRE PHARMACEUTICALS LIMITED	1	0.095
SHOWA GEN HOSP	1	0.095
SICHUAN PROVINCIAL PEOPLE S HOSPITAL	1	0.095
SILESIAN CENTER FOR HEART DISEASES	1	0.095
SINGAPORE INSTITUTE FOR CLINICAL SCIENCES	1	0.095
SIUH	1	0.095
SKMC	1	0.095
SMITH COLLEGE	1	0.095
SOCIAL SECTORS DEV STRATEGIES	1	0.095
SODERTORN UNIVERSITY	1	0.095
SOMERSET PARTNERSHIP NHS FDN TRUST	1	0.095
SOONCHUNHYANG UNIVERSITY	1	0.095
SOPHIAHEMMET UNIV	1	0.095
SOPHIE DAVIS SCHOOL OF BIOMEDICAL EDUCATION	1	0.095
SOUTH EASTERN SYDNEY LOCAL HLTH DIST	1	0.095
SOUTH LONDON MAUDSLEY NHS TRUST	1	0.095
SOUTHAMPTON GEN HOSP MP113	1	0.095
SOUTHEAST UNIVERSITY CHINA	1	0.095
SOUTHEASTERN HLTH	1	0.095
SOUTHERN HLTH	1	0.095
SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE	1	0.095
SOUTHERN ILLINOIS UNIVERSITY SYSTEM	1	0.095
SP MED COLL	1	0.095
SPANISH CATHOLIC CTR	1	0.095
SPECIALISED DIABET PRACTICE LEVERKUSEN	1	0.095
SPITAL GRABS	1	0.095
ST ANNA HOSP	1	0.095
ST BARNABAS HOSP	1	0.095
ST JOHN HOSPITAL MEDICAL CENTER	1	0.095
ST JOSEPH UNIV BEIRUT	1	0.095
ST JOSEPHS HOSP	1	0.095
ST LUKES TEACHING HOSP	1	0.095
ST PAULS HOSP	1	0.095
STAKEHOLDER RELAT	1	0.095
STAKES	1	0.095
STAKES NATL RES DEV CTR WELF HLTH	1	0.095
STAPLEFORD CTR	1	0.095
STAT COLLABORAT INC	1	0.095
STATE HIGHER VOCAT SCH	1	0.095
STATE INST DIABET ENDOCRINOL RIO DE JANEIRO	1	0.095
STATE UNIV HOSP RIO DE JANEIRO	1	0.095
STATE UNIVERSITY OF NEW YORK SUNY BUFFALO	1	0.095
STFC RUTHERFORD APPLETON LABORATORY	1	0.095
STOFFWECHSELZENTRUM RHEIN PFALZ	1	0.095
STOLPEGAARD PSYCHOTHERAPY CTR	1	0.095
STRUCTURED HEALTHCARE INITIAT	1	0.095
SUD FRANCILIEN HOSP	1	0.095
SWANSEA UNIVERSITY	1	0.095
SYRACUSE UNIVERSITY	1	0.095
TAIAN CITY CENT HOSP	1	0.095
TAIBAH UNIVERSITY	1	0.095
TAICHUNG VETERANS GENERAL HOSPITAL	1	0.095
TAIF UNIVERSITY	1	0.095
TAINAN HOSP	1	0.095
TAIPEI TZU CHI HOSP	1	0.095
TAIZHOU FIRST PEOPLES HOSP	1	0.095
TAKAHASHI FAMILY CLIN	1	0.095
TAKAMATSU CITY OFF	1	0.095
TAMKANG UNIVERSITY	1	0.095
TAMPERE UNIV APPL SCI	1	0.095
TDE HEALTHCARE CORP	1	0.095
TECHNICAL UNIVERSITY OF MUNICH	1	0.095
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY	1	0.095
TECHNOL EDUC INST ATHENS	1	0.095
TECHNOL EDUC INST EPIRUS	1	0.095
TEL HAI ACADEMY COLLEGE	1	0.095
TELETHON KIDS INSTITUTE	1	0.095
TEMPLE UNIVERSITY	1	0.095
TEXAS STATE UNIVERSITY SAN MARCOS	1	0.095
TEXAS STATE UNIVERSITY SYSTEM	1	0.095
TEXAS TECH UNIVERSITY SYSTEM	1	0.095
TEXAS WOMANS UNIVERSITY	1	0.095
THAMESREACH	1	0.095
TIANJIN MEDICAL UNIVERSITY	1	0.095
TNS HEALTHCARE	1	0.095
TORONTO REHABILITATION INSTITUTE	1	0.095
TRIPURA MED COLL	1	0.095
TU DU OBSTET GYNECOL HOSP	1	0.095
TULANE UNIVERSITY	1	0.095
TWEESTEDEN HOSP	1	0.095
TZANEIO GEN HOSP PIRAEUS	1	0.095
TZU CHI UNIVERSITY	1	0.095
UCI HLTH POLICY RES INST	1	0.095
UCL MEDICAL SCHOOL	1	0.095
UGANDA MARTYRS UNIVERSITY	1	0.095
UMEA UNIVERSITY	1	0.095
UMM AL QURA UNIVERSITY	1	0.095
UNC GILLINGS SCH GLOBAL HLTH	1	0.095
UNC SCH MED	1	0.095
UNITED STATES ARMY	1	0.095
UNITED STATES DEPARTMENT OF AGRICULTURE USDA	1	0.095
UNITED STATES DEPARTMENT OF DEFENSE	1	0.095
UNITED STATES NAVY	1	0.095
UNIV CA	1	0.095
UNIV HOSP	1	0.095
UNIV HOSP DOCTOR PESET	1	0.095
UNIV HOSP OULU	1	0.095
UNIV HOSP POLICLIN VITTORIO EMANUELE CATANIA SICI	1	0.095
UNIV HOSP SAN JUAN	1	0.095
UNIV INCARNATE WORD	1	0.095
UNIV JUAREZ AUTONOMA TABASCO	1	0.095
UNIV LOWER SILESIA	1	0.095
UNIV NIIGATA PREFECTURE	1	0.095
UNIV PSYCHIAT CLIN RIJEKA	1	0.095
UNIV SOUTH HAMPTON	1	0.095
UNIV VIGO SERGAS	1	0.095
UNIV VITA SAN RAFFAELE	1	0.095
UNIV WEST LONDON	1	0.095
UNIV WINDSOR	1	0.095
UNIVERSIDAD DE CASTILLA LA MANCHA	1	0.095
UNIVERSIDAD DE LA LAGUNA	1	0.095
UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO	1	0.095
UNIVERSIDAD LOYOLA ANDALUCIA	1	0.095
UNIVERSIDAD NACIONAL DE EDUCACION A DISTANCIA UNED	1	0.095
UNIVERSIDADE DE SAO PAULO	1	0.095
UNIVERSIDADE DO MINHO	1	0.095
UNIVERSIDADE DO PORTO	1	0.095
UNIVERSITAT DE GIRONA	1	0.095
UNIVERSITE CATHOLIQUE LOUVAIN	1	0.095
UNIVERSITE DE BORDEAUX	1	0.095
UNIVERSITE DE LYON COMUE	1	0.095
UNIVERSITE DE MONTPELLIER	1	0.095
UNIVERSITE GRENOBLE ALPES UGA	1	0.095
UNIVERSITE PARIS 13	1	0.095
UNIVERSITE SIDI MOHAMED BEN ABDELLAH FES	1	0.095
UNIVERSITI MALAYA	1	0.095
UNIVERSITI SAINS MALAYSIA	1	0.095
UNIVERSITY COLLEGE CORK	1	0.095
UNIVERSITY COLLEGE DUBLIN	1	0.095
UNIVERSITY COLLEGE OF SOUTHEAST NORWAY	1	0.095
UNIVERSITY HOSPITAL ATTIKON	1	0.095
UNIVERSITY HOSPITAL BRUSSELS	1	0.095
UNIVERSITY HOSPITAL LEUVEN	1	0.095
UNIVERSITY HOSPITAL MAINZ	1	0.095
UNIVERSITY HOSPITAL OF GIESSEN MARBURG	1	0.095
UNIVERSITY HOSPITAL OF HERAKLION	1	0.095
UNIVERSITY HOSPITAL OF NORTH NORWAY	1	0.095
UNIVERSITY HOSPITALS OF CLEVELAND	1	0.095
UNIVERSITY OF BASEL	1	0.095
UNIVERSITY OF BERGAMO	1	0.095
UNIVERSITY OF BIELSKO BIALA	1	0.095
UNIVERSITY OF BRIGHTON	1	0.095
UNIVERSITY OF CALIFORNIA RIVERSIDE	1	0.095
UNIVERSITY OF CALIFORNIA SANTA BARBARA	1	0.095
UNIVERSITY OF CENTRAL LANCASHIRE	1	0.095
UNIVERSITY OF COLOMBO	1	0.095
UNIVERSITY OF COLORADO DENVER	1	0.095
UNIVERSITY OF CRETE	1	0.095
UNIVERSITY OF DELHI	1	0.095
UNIVERSITY OF DUNDEE	1	0.095
UNIVERSITY OF ESSEX	1	0.095
UNIVERSITY OF FLORENCE	1	0.095
UNIVERSITY OF GENOA	1	0.095
UNIVERSITY OF GEORGIA	1	0.095
UNIVERSITY OF HAIFA	1	0.095
UNIVERSITY OF HERTFORDSHIRE	1	0.095
UNIVERSITY OF HOUSTON	1	0.095
UNIVERSITY OF HOUSTON SYSTEM	1	0.095
UNIVERSITY OF HULL	1	0.095
UNIVERSITY OF LEEDS	1	0.095
UNIVERSITY OF LEIPZIG	1	0.095
UNIVERSITY OF LJUBLJANA	1	0.095
UNIVERSITY OF LOUISVILLE	1	0.095
UNIVERSITY OF MACAU	1	0.095
UNIVERSITY OF MESSINA	1	0.095
UNIVERSITY OF MINNESOTA DULUTH	1	0.095
UNIVERSITY OF MISSOURI COLUMBIA	1	0.095
UNIVERSITY OF MOSTAR	1	0.095
UNIVERSITY OF NORTH CAROLINA WILMINGTON	1	0.095
UNIVERSITY OF NORTH FLORIDA	1	0.095
UNIVERSITY OF NOTRE DAME AUSTRALIA	1	0.095
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER	1	0.095
UNIVERSITY OF OKLAHOMA OKLAHOMA CITY	1	0.095
UNIVERSITY OF OKLAHOMA SYSTEM	1	0.095
UNIVERSITY OF OTTAWA	1	0.095
UNIVERSITY OF PARIS DESCARTES	1	0.095
UNIVERSITY OF PAVIA	1	0.095
UNIVERSITY OF PISA	1	0.095
UNIVERSITY OF PUERTO RICO	1	0.095
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS	1	0.095
UNIVERSITY OF QUEBEC	1	0.095
UNIVERSITY OF QUEBEC TROIS RIVIERES	1	0.095
UNIVERSITY OF RIJEKA	1	0.095
UNIVERSITY OF ROCHESTER	1	0.095
UNIVERSITY OF SAN DIEGO	1	0.095
UNIVERSITY OF SEVILLA	1	0.095
UNIVERSITY OF SIENA	1	0.095
UNIVERSITY OF SOCIAL SCIENCES HUMANITIES POLAND	1	0.095
UNIVERSITY OF SOUTH CAROLINA COLUMBIA	1	0.095
UNIVERSITY OF SOUTH CAROLINA SYSTEM	1	0.095
UNIVERSITY OF SOUTHERN QUEENSLAND	1	0.095
UNIVERSITY OF STIRLING	1	0.095
UNIVERSITY OF SUSSEX	1	0.095
UNIVERSITY OF TAMPERE	1	0.095
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER	1	0.095
UNIVERSITY OF TENNESSEE SYSTEM	1	0.095
UNIVERSITY OF TEXAS AT SAN ANTONIO UTSA	1	0.095
UNIVERSITY OF TEXAS HEALTH SAN ANTONIO	1	0.095
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON	1	0.095
UNIVERSITY OF TEXAS RIO GRANDE VALLEY	1	0.095
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER DALLAS	1	0.095
UNIVERSITY OF THE FREE STATE	1	0.095
UNIVERSITY OF THE WESTERN CAPE	1	0.095
UNIVERSITY OF TSUKUBA	1	0.095
UNIVERSITY OF VIENNA	1	0.095
UNIVERSITY OF VIGO	1	0.095
UNIVERSITY OF WEST GEORGIA	1	0.095
UNIVERSITY OF WISCONSIN MILWAUKEE	1	0.095
UNIVERSITY OF WITWATERSRAND	1	0.095
UNIVERSITY OF WOLLONGONG	1	0.095
UNIVERSITY OF WURZBURG	1	0.095
UNIVERSITY OF YORK UK	1	0.095
UNIVERSITY OF ZAGREB	1	0.095
UNIVERSITY OF ZURICH	1	0.095
US DEPT VET AFFAIRS VA PUGET SOUND HLTH CARE SYST	1	0.095
US FOOD DRUG ADMINISTRATION FDA	1	0.095
USL NORD OVEST TOSCANA	1	0.095
UTAH STATE UNIVERSITY	1	0.095
VA ANN ARBOR CTR CLIN MANAGEMENT RES	1	0.095
VA COMMONWEALTH UNIV	1	0.095
VA CTR CLIN MANAGEMENT RES	1	0.095
VA CTR HLTH EQU RES PROMOT	1	0.095
VA NEW JERSEY HLTH CARE SYST	1	0.095
VA NORTH TEXAS HEALTH CARE SYSTEM	1	0.095
VA OFF PATIENT CARE	1	0.095
VA S CENT MENTAL ILLNESS RES EDUC CLIN CTR	1	0.095
VA TENNESSEE VALLEY HEALTHCARE SYSTEM	1	0.095
VALL D HEBRON INSTITUT DE RECERCA VHIR	1	0.095
VAN HORN CONSULTING	1	0.095
VANDERBILT UNIVERSITY PEABODY COLLEGE	1	0.095
VESTFOLD HLTH TRUST	1	0.095
VESTFOLD HOSP TRUST	1	0.095
VET AFFAIRS CTR CLIN MANAGEMENT RES	1	0.095
VET AFFAIRS PUGET SOUND HEALTH CARE SYSTEM	1	0.095
VICTOR BABES UNIVERSITY OF MEDICINE PHARMACY TIMISOARA	1	0.095
VICTORIA UNIVERSITY	1	0.095
VIRGEN DEL ROCIO UNIVERSITY HOSPITAL	1	0.095
VUK VRHOVAC INST	1	0.095
WAGENINGEN UNIVERSITY RESEARCH	1	0.095
WAITEMATA DIST HLTH BOARD	1	0.095
WALAILAK UNIVERSITY	1	0.095
WASHINGTON CTR WEIGHT MANAGEMENT RES	1	0.095
WASHINGTON STATE UNIVERSITY	1	0.095
WATANABE MED CLIN	1	0.095
WATERLOO WELLINGTON SELF MANAGEMENT PROGRAM	1	0.095
WEIGHT WATCHERS INT	1	0.095
WEILL CORNELL MEDICAL COLLEGE	1	0.095
WEILL CORNELL MEDICAL COLLEGE QATAR	1	0.095
WENZHOU MEDICAL UNIVERSITY	1	0.095
WESLEYAN UNIVERSITY	1	0.095
WEST BENGAL HLTH SERV	1	0.095
WEST MORETON HOSP HLTH SERV	1	0.095
WEST VIRGINIA UNIVERSITY	1	0.095
WESTERN HOSPITAL	1	0.095
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO	1	0.095
WESTFIELD STATE COLLEGE	1	0.095
WHO	1	0.095
WILFORD HALL AMBULATORY SURG CTR	1	0.095
WINTHROP UNIVERSITY HOSPITAL	1	0.095
WRIGHT STATE UNIVERSITY DAYTON	1	0.095
XUZHOU CTR DIS CONTROL PREVENT	1	0.095
YAMAGUCHI UNIVERSITY	1	0.095
YOKOHAMA CITY UNIVERSITY	1	0.095
YONSEI UNIVERSITY	1	0.095
YONSEI UNIVERSITY HEALTH SYSTEM	1	0.095
YOUR DIABET ENDOCRINE NUTR GRP	1	0.095
YUANPEI UNIV	1	0.095
YUANPEI UNIV MED TECHNOL	1	0.095
ZIV HOSP	1	0.095
ZUWE HOFPOORT REG PSYCHIAT CTR	1	0.095

